competitionid,stage,weather,ballid
1,0,0,33
1,0,2,12
4,0,0,122
4,0,2,12
10,0,0,30
10,0,2,12
13,0,0,151
13,0,2,12
14,0,0,55
14,0,2,112
16,0,0,45
16,0,2,101
17,0,0,51
17,0,2,104
19,0,0,25
19,0,2,26
20,0,0,27
20,0,2,28
21,0,0,25
21,0,2,26
22,0,0,115
22,0,2,116
31,0,0,92
31,0,2,137
32,0,0,82
32,0,2,172
33,0,0,82
39,0,0,189
41,0,0,199
41,0,2,12
50,0,0,173
50,0,2,174
51,0,0,141
53,0,0,41
53,0,2,132
54,0,0,69
54,0,2,138
56,0,0,97
56,0,2,12
60,0,0,55
60,0,2,112
61,0,0,55
61,0,2,112
63,0,0,141
65,0,0,23
65,0,2,23
66,0,0,93
66,0,2,12
68,0,0,89
68,0,2,12
76,0,0,88
78,0,0,141
78,0,2,142
80,0,0,31
80,0,2,12
81,0,0,31
81,0,2,12
83,0,0,29
83,0,2,12
152,0,0,129
152,0,2,12
152,8,0,129
153,0,0,129
153,0,2,12
153,8,0,129
189,0,0,71
189,0,2,71
201,0,0,175
201,0,2,176
201,4,0,175
201,8,0,175
202,0,0,60
202,0,2,60
202,4,0,60
202,8,0,60
203,0,0,61
203,0,2,61
203,4,0,61
203,8,0,61
204,0,0,88
204,0,2,142
204,8,0,88
206,0,0,32
206,0,2,12
206,4,0,32
206,8,0,32
207,0,0,160
207,8,0,160
208,0,0,88
208,0,2,142
208,4,0,88
208,8,0,88
210,0,0,40
210,0,2,40
210,5,0,40
210,8,0,40
211,0,0,65
211,0,2,65
211,8,0,65
212,0,0,88
212,0,2,142
212,4,0,88
212,8,0,88
213,0,0,88
213,0,2,142
213,8,0,88
214,0,0,122
214,0,2,12
214,8,0,122
215,0,0,80
215,0,2,12
215,8,0,80
216,0,0,33
216,0,2,12
216,8,0,33
217,0,0,199
217,0,2,12
218,0,0,88
218,0,2,142
218,8,0,88
219,0,0,99
219,0,2,12
219,8,0,99
220,0,0,97
220,0,2,12
220,8,0,97
221,0,0,71
223,0,0,66
223,0,2,108
223,5,0,66
223,8,0,66
224,0,0,59
224,0,2,46
224,5,0,59
224,8,0,59
225,0,0,41
225,0,2,12
225,8,0,41
226,0,0,57
226,0,2,118
226,5,0,57
226,8,0,57
227,0,0,68
227,0,2,68
227,5,0,68
227,8,0,68
228,0,0,77
228,8,0,77
232,0,0,98
232,8,0,98
233,0,0,102
233,0,2,102
233,8,0,102
234,0,0,88
234,0,2,142
234,8,0,88
241,0,0,88
241,0,2,88
241,8,0,88
242,0,0,88
242,0,2,12
242,8,0,88
243,0,0,88
243,0,2,12
243,8,0,88
244,0,0,88
244,0,2,12
244,8,0,88
245,0,0,88
245,0,2,12
245,8,0,88
268,0,0,88
268,0,2,142
268,8,0,88
308,0,0,36
308,0,2,12
308,8,0,36
314,0,0,88
314,0,2,142
314,8,0,88
330,0,0,79
330,0,2,79
330,8,0,79
332,0,0,88
347,0,0,88
350,0,0,64
350,0,2,64
350,8,0,64
351,0,0,117
351,0,2,12
351,8,0,117
353,0,0,129
353,0,2,12
353,8,0,129
354,0,0,130
357,0,0,88
360,0,0,55
360,8,0,55
361,0,0,55
365,0,0,23
366,0,0,88
390,0,0,189
414,0,0,55
414,8,0,55
451,0,0,45
820,0,0,88
821,0,0,88
822,0,0,88
840,0,0,88
841,0,0,88
842,0,0,88
843,0,0,88
844,0,0,88
845,0,0,88
846,0,0,88
847,0,0,88
848,0,0,88
849,0,0,88
850,0,0,88
851,0,0,88
860,0,0,88
861,0,0,88
862,0,0,88
863,0,0,88
864,0,0,88
865,0,0,88
866,0,0,88
867,0,0,88
868,0,0,88
869,0,0,88
870,0,0,88
871,0,0,88
871,8,0,88
900,0,0,88
901,0,0,88
980,0,0,37
981,0,0,37
990,0,0,37
991,0,0,37
992,0,0,37
993,0,0,37
1003,0,0,184
1003,0,2,184
1003,5,0,184
1003,8,0,184
1004,0,0,24
1014,0,0,184
1014,0,2,184
1014,4,0,184
1014,8,0,184
1015,0,0,184
1015,8,0,184
2012,0,0,75
2028,0,0,88
2039,0,0,6
2076,0,0,91
2092,0,0,88
2093,0,0,88
2094,0,0,88
2095,0,0,88
2096,0,0,88
2118,0,0,88
2136,0,0,88
2139,0,0,88
2149,0,0,133
2161,0,0,88
2162,0,0,88
2163,0,0,88
2164,0,0,88
2166,0,0,88
2167,0,0,88
2168,0,0,88
2169,0,0,88
2170,0,0,25
2173,0,0,88
2215,0,0,90
2216,0,0,76
2216,0,2,148
2218,0,0,88
2218,0,2,88
2221,0,0,163
2221,0,2,163
2222,0,0,72
2226,0,0,88
2500,0,0,88
2501,0,0,88
2502,0,0,88
2503,0,0,88
2504,0,0,88
2505,0,0,88
2506,0,0,88
2507,0,0,88
2508,0,0,6
2509,0,0,88
2510,0,0,88
2511,0,0,88
2512,0,0,88
2513,0,0,88
2514,0,0,88
2515,0,0,88
2516,0,0,88
2517,0,0,88
2518,0,0,88
2519,0,0,88
2520,0,0,88
2521,0,0,88
2522,0,0,88
2523,0,0,88
2524,0,0,88
2525,0,0,88
2526,0,0,88
2527,0,0,88
2528,0,0,88
2529,0,0,88
2530,0,0,88
2531,0,0,88
3000,0,0,88
3001,0,0,88
3005,0,0,88
3010,0,0,88
3011,0,0,88
3020,0,0,88
3021,0,0,88
3030,0,0,88
3031,0,0,88
5060,0,0,24
5065,0,0,88
5066,0,0,88
5070,0,0,88
5070,0,2,88
5071,0,0,141
